    T(K)        P(bar)        D(mol/L)
  868.7699   60.0667    0.0119   -0.5503    2.0538   -1.8227    5.9134   8   2
  867.8173   58.1513    0.0121   -0.5973    2.1971   -1.8600    6.0038   8   3
  866.8192   56.2863    0.0123   -0.6453    2.3405   -1.8976    6.0946   8   3
  865.7752   54.4704    0.0124   -0.6945    2.4838   -1.9355    6.1859   8   2
  864.5734   52.5284    0.0126   -0.7497    2.6414   -1.9775    6.2869   8   2
  863.2746   50.5842    0.0127   -0.8079    2.8039   -2.0214    6.3916   8   2
  861.8727   48.6412    0.0128   -0.8693    2.9713   -2.0670    6.5002   8   2
  860.3611   46.7030    0.0130   -0.9339    3.1437   -2.1144    6.6128   8   2
  858.7333   44.7728    0.0131   -1.0017    3.3210   -2.1638    6.7294   8   2
  856.9825   42.8539    0.0132   -1.0729    3.5033   -2.2151    6.8501   8   2
  855.1019   40.9495    0.0133   -1.1475    3.6904   -2.2685    6.9751   8   2
  853.0843   39.0628    0.0134   -1.2255    3.8825   -2.3240    7.1043   8   2
  850.9226   37.1969    0.0135   -1.3071    4.0796   -2.3816    7.2380   8   2
  848.6097   35.3548    0.0136   -1.3923    4.2816   -2.4415    7.3761   8   2
  846.1383   33.5395    0.0136   -1.4810    4.4885   -2.5036    7.5189   8   2
  843.5013   31.7538    0.0137   -1.5734    4.7003   -2.5682    7.6665   8   2
  840.6917   30.0007    0.0138   -1.6694    4.9171   -2.6353    7.8188   8   2
  837.7025   28.2829    0.0139   -1.7690    5.1389   -2.7049    7.9762   8   2
  834.5270   26.6030    0.0139   -1.8723    5.3656   -2.7772    8.1386   8   2
  831.1589   24.9637    0.0140   -1.9792    5.5972   -2.8522    8.3062   8   2
  827.5921   23.3676    0.0141   -2.0898    5.8338   -2.9301    8.4792   8   2
  823.8210   21.8169    0.0141   -2.2040    6.0753   -3.0109    8.6576   8   2
  819.8403   20.3141    0.0142   -2.3219    6.3218   -3.0948    8.8416   8   2
  815.6456   18.8614    0.0143   -2.4434    6.5732   -3.1818    9.0315   8   2
